runbook name,description
AWSSupport-TroubleshootRDSIAMAuthentication,"AWSSupport-TroubleshootRDSIAMAuthentication: It troubleshoots and verifies the configuration required for IAM authentication with Amazon RDS and Amazon Aurora database instances. This runbook should be used when encountering issues connecting to RDS or Aurora using IAM authentication. It validates if IAM authentication is enabled, required IAM permissions are present, and connectivity from the source EC2 instance if provided. The runbook provides remediation steps and sample database connection commands using IAM authentication. This is useful for debugging IAM database authentication issues with RDS and Aurora PostgreSQL, MySQL, MariaDB database engines."
AWSSupport-ValidateRdsNetworkConfiguration,"AWSSupport-ValidateRdsNetworkConfiguration: This runbook validates the network configuration for an Amazon RDS database instance before performing a ModifyDBInstance or StartDBInstance operation. It checks for conditions that could cause the instance to enter an incompatible network state, such as insufficient IP addresses or incorrect VPC settings. This runbook should be used when modifying or starting an RDS instance to avoid network-related errors. It verifies subnet and ENI quotas, subnet IP availability, and VPC attributes based on the provided RDS instance identifier. Using this runbook helps prevent incompatible network states by proactively detecting potential issues."
AWSConfigRemediation-DeleteRedshiftCluster,"AWSConfigRemediation-DeleteRedshiftCluster: It deletes the specified Amazon Redshift cluster in Amazon Redshift. This runbook should be used when you need to remove an unused or outdated Redshift cluster. The runbook targets Amazon Redshift to remove the specified cluster, allowing you to deprovision unneeded resources. Consider using this runbook when restructuring your data warehouse architecture or consolidating clusters. Specify the cluster identifier to target the correct Redshift cluster for deletion."
AWSConfigRemediation-DisablePublicAccessToRedshiftCluster,"AWSConfigRemediation-DisablePublicAccessToRedshiftCluster: It disables public accessibility for Amazon Redshift clusters. This runbook modifies the publiclyAccessible parameter to false for the specified Redshift cluster, preventing direct connections from public IP addresses. This runbook should be used when you want to restrict access to your Redshift cluster only from within your VPC or specific IP ranges, enhancing security. Consider using this runbook if your Redshift cluster was created with public accessibility enabled by default, but you want to limit access. The runbook targets Redshift clusters specifically, disabling public access as recommended by AWS security best practices."
AWSConfigRemediation-EnableRedshiftClusterAuditLogging,"AWSConfigRemediation-EnableRedshiftClusterAuditLogging: It enables audit logging for Amazon Redshift clusters. This runbook configures the specified Redshift cluster to send audit log records to Amazon CloudWatch Logs. It should be used when you want to monitor user activity and API calls for a Redshift cluster. This provides visibility into database access and changes, which can be useful for security and compliance purposes. The runbook targets a specific Redshift cluster that you specify, enabling audit logging by modifying the cluster parameter group settings. It can help meet audit logging requirements without needing to manually configure each cluster."
AWSConfigRemediation-EnableRedshiftClusterAutomatedSnapshot,AWSConfigRemediation-EnableRedshiftClusterAutomatedSnapshot: It enables automated snapshots for Amazon Redshift clusters. This runbook modifies the automated snapshot retention period and other snapshot settings for a specified Redshift cluster. It should be used when you want to enable automated backups for a Redshift cluster to improve data protection and recovery. Consider using this runbook if your Redshift cluster does not have automated snapshots enabled or you want to modify the automated snapshot settings. It can help meet compliance requirements and provides an easy way to enable this best practice for Redshift clusters.
AWSConfigRemediation-EnableRedshiftClusterEncryption,"AWSConfigRemediation-EnableRedshiftClusterEncryption: This runbook enables encryption on Amazon Redshift clusters using AWS Key Management Service (AWS KMS) customer managed keys. It should be used to encrypt Redshift clusters according to security best practices. The runbook cannot change the KMS key on an already encrypted cluster. To change the KMS key, encryption must first be disabled. This runbook provides a baseline encryption configuration for Redshift clusters. For enhanced security, encrypt multiple clusters with different customer managed keys."
AWSConfigRemediation-EnableRedshiftClusterEnhancedVPCRouting,AWSConfigRemediation-EnableRedshiftClusterEnhancedVPCRouting: This runbook enables enhanced VPC routing for Amazon Redshift clusters in AWS. It can be used to enable the enhanced VPC routing feature for a specified Redshift cluster. Enhanced VPC routing forces all COPY and UNLOAD traffic between the cluster and data repositories to go through your Amazon VPC. This improves security by isolating network traffic between Amazon Redshift and data repositories in VPC. This runbook would be useful when you want to enable enhanced VPC routing on an existing Amazon Redshift cluster to improve network isolation and security. It should be used on clusters that need to access data repositories within your VPC.
AWSConfigRemediation-EnforceSSLOnlyConnectionsToRedshiftCluster,"AWSConfigRemediation-EnforceSSLOnlyConnectionsToRedshiftCluster: It configures Amazon Redshift clusters to enforce SSL-only connections. This runbook modifies cluster parameters to require SSL encryption for all database connections to a Redshift cluster. It should be used when stronger security is needed for sensitive data in a Redshift cluster. By enforcing SSL connections, data transmission is encrypted in transit, preventing snooping or man-in-the-middle attacks. This runbook targets Redshift clusters specifically, modifying cluster parameters based on the description. It enables a security best practice for Redshift by enforcing SSL connections."
AWSConfigRemediation-ModifyRedshiftClusterMaintenanceSettings,"AWSConfigRemediation-ModifyRedshiftClusterMaintenanceSettings: It modifies the maintenance settings for Amazon Redshift clusters. This runbook updates the settings related to when maintenance updates and backups occur for a specified Redshift cluster. It should be used when you need to change the maintenance windows or backup settings for an existing Redshift cluster. Based on the context, this runbook allows configuring when maintenance and backups happen through AWS Config rules. It can help automate compliance with policies around Redshift maintenance. The runbook targets Amazon Redshift and modifies cluster settings."
AWSConfigRemediation-ModifyRedshiftClusterNodeType,AWSConfigRemediation-ModifyRedshiftClusterNodeType: It modifies the node type and number of nodes for Amazon Redshift clusters. This runbook should be used when you need to change the compute and storage capacity of your Redshift cluster by adjusting the node type or number of nodes. It allows automatic remediation of configurations that violate policies related to Redshift cluster sizing. Consider using this runbook when AWS Config detects your Redshift cluster is non-compliant with node type or node count policies. The runbook provides an automated way to remediate those violations by resizing the cluster as needed.
AWS-ArchiveS3BucketToIntelligentTiering,AWS-ArchiveS3BucketToIntelligentTiering: It configures an Amazon S3 bucket to use Intelligent Tiering storage. This runbook creates or replaces an intelligent tiering configuration for the specified S3 bucket. Intelligent Tiering can help reduce storage costs by automatically moving data between access tiers based on usage patterns. This runbook should be used when you want to enable Intelligent Tiering on an existing S3 bucket to optimize storage costs. It is useful for archiving infrequently accessed data while keeping frequently used data in lower cost tiers. The runbook acts on the specified S3 bucket based on the provided description.
AWS-ConfigureS3BucketLogging,AWS-ConfigureS3BucketLogging: It enables server access logging on an Amazon Simple Storage Service (Amazon S3) bucket. This runbook configures an S3 bucket to write access logs to another S3 bucket. It should be used when you want to track requests made to an S3 bucket for security and access monitoring purposes. The runbook targets Amazon S3 and can enable detailed logging for auditing and diagnostic purposes. It is useful for security teams to analyze access patterns and investigate suspicious activity. The provided context indicates it enables logging specifically on S3 buckets.
AWS-ConfigureS3BucketVersioning,"AWS-ConfigureS3BucketVersioning: This runbook configures versioning for an Amazon S3 bucket. It enables or suspends versioning on the specified S3 bucket. This allows you to keep multiple variants of an object in the same bucket. It is useful for backup and restore, as well as maintaining document history. This runbook should be used when you need to enable or suspend versioning on an S3 bucket. It can help implement backup policies and provide protection against unintended overwrites or deletes. The runbook acts on the specified S3 bucket to modify its versioning configuration."
AWSConfigRemediation-ConfigureS3BucketPublicAccessBlock,"AWSConfigRemediation-ConfigureS3BucketPublicAccessBlock: This runbook configures the Amazon S3 public access block settings for a specified S3 bucket. It allows setting access controls to block public access to buckets and objects. This runbook should be used when you want to restrict public access to an S3 bucket per security best practices. Based on the context, it sets S3 bucket public access block configuration based on parameters specified in the runbook. Using this automates setting up S3 access controls for security and compliance."
AWSConfigRemediation-ConfigureS3PublicAccessBlock,"AWSConfigRemediation-ConfigureS3PublicAccessBlock: This runbook configures the Amazon S3 public access block settings for an AWS account based on specified parameter values. It enables managing public access to S3 buckets and objects. This runbook should be used when you want to set account-level S3 public access block configuration like blocking public access to buckets and objects. It allows configuring settings like blocking new public bucket policies, ignoring public ACLs, and requiring authorization to access S3 objects. This runbook acts on the S3 service for the target AWS account."
AWS-CreateS3PolicyToExpireMultipartUploads,"AWS-CreateS3PolicyToExpireMultipartUploads: This runbook creates a lifecycle policy for an Amazon S3 bucket to expire incomplete, multipart uploads after a specified number of days. It merges the new policy with any existing lifecycle policies on the bucket. This can help reduce storage costs by removing unfinished uploads that may never complete. It should be used when you want to automatically delete multipart uploads that have remained incomplete for a defined period. The runbook targets Amazon S3 buckets and expires multipart uploads based on the provided configuration."
AWS-DisableS3BucketPublicReadWrite,"AWS-DisableS3BucketPublicReadWrite: This runbook disables public read and write access for Amazon S3 buckets. It uses Amazon S3 Block Public Access to remove the ability for unauthorized users to view or modify objects in a bucket. This runbook should be used when you want to restrict access to sensitive data in an S3 bucket, or prevent public writing that could incur unexpected costs. Given the context that it utilizes Amazon S3 Block Public Access, this runbook is ideal for quickly locking down bucket permissions. By disabling public access, it enhances security and prevents unwanted public usage of S3 resources."
AWS-EnableS3BucketEncryption,"AWS-EnableS3BucketEncryption: It configures default encryption for an Amazon Simple Storage Service (Amazon S3) bucket. This runbook enables encryption on an existing S3 bucket to protect sensitive data stored in the bucket. It should be used when there is a need to enable encryption on an S3 bucket that was created without encryption enabled. The runbook uses AWS Systems Manager Automation to enable default encryption on the specified S3 bucket. This allows enabling encryption on S3 buckets without needing to manually configure it. Given that the runbook targets Amazon S3, it is useful for enabling encryption on storage buckets."
AWS-EnableS3BucketKeys,"AWS-EnableS3BucketKeys: This runbook enables server-side encryption on an Amazon S3 bucket using AWS KMS keys. It configures bucket keys to encrypt new objects uploaded to the target S3 bucket. The KmsKeyId parameter specifies the KMS key ID to use for encryption. If no KmsKeyId is specified, S3 managed keys (SSE-S3) are used by default. This runbook automates enabling encryption on an S3 bucket to protect sensitive data at rest. It should be used when strong encryption is required for a bucket's contents."
AWSConfigRemediation-RemovePrincipalStarFromS3BucketPolicy,"AWSConfigRemediation-RemovePrincipalStarFromS3BucketPolicy: This runbook removes wildcard principal policy statements from Amazon S3 bucket policies. It scans for Allow actions with Principal set to '*' or 'AWS': '*' and removes those statements, including any with conditions. This should be used when you want to tighten security by eliminating broad access permissions from your S3 buckets. The runbook targets Amazon S3 bucket policies specifically, removing overly permissive statements to restrict access. As noted in the description, it focuses on wildcard principal policies for Allow actions, which can grant unintended access. Running this can help harden S3 bucket policies by removing those risky permissions."
AWSConfigRemediation-RestrictBucketSSLRequestsOnly,"AWSConfigRemediation-RestrictBucketSSLRequestsOnly: It modifies the bucket policy for an Amazon S3 bucket to deny HTTP requests and enforce SSL requests only. This runbook should be used when you want to enforce secure connections to an S3 bucket by blocking unencrypted HTTP requests. Based on the context, it creates a bucket policy statement to explicitly deny HTTP requests to a specified S3 bucket. This can help meet compliance requirements or improve security by requiring SSL for any access to the bucket. As it modifies the bucket policy, this runbook is useful when you need to quickly enforce SSL connections for an existing S3 bucket."
AWSSupport-TroubleshootS3PublicRead,"AWSSupport-TroubleshootS3PublicRead: This runbook diagnoses issues with reading objects from a public Amazon S3 bucket. It analyzes settings for objects in the specified S3 bucket to troubleshoot public access problems. This runbook should be used when you need to diagnose why objects in a public S3 bucket cannot be accessed as expected. It checks bucket policies, ACLs, and object permissions to identify misconfigurations that could prevent public reading of objects. The runbook targets Amazon S3 and focuses on troubleshooting public access issues for a specific S3 bucket."
AWS-DisableSageMakerNotebookRootAccess,"AWS-DisableSageMakerNotebookRootAccess: It disables root access on Amazon SageMaker notebook instances. This runbook stops the notebook instance to make the required changes. It should be used when you want to increase security by removing the ability for users to gain root access on SageMaker notebook instances. This runbook cannot be used on SageMaker Studio notebook instances. By disabling root access, you prevent users from making broad changes to the underlying instance that could impact security or availability. Use this runbook to lock down notebook instances after creation and prevent privilege escalation."
AWSConfigRemediation-DeleteSecret,"AWSConfigRemediation-DeleteSecret: This runbook deletes a secret and all versions stored in AWS Secrets Manager. You can specify a recovery window to restore the deleted secret. If no recovery window is specified, the default is 30 days. This can be used when you need to permanently delete a secret from Secrets Manager, while allowing a window of time to restore it in case of accidental deletion. Specifying a short recovery window ensures secrets are fully removed after a certain time period."
AWSConfigRemediation-RotateSecret,"AWSConfigRemediation-RotateSecret: It rotates secrets stored in AWS Secrets Manager. This runbook automates the process of rotating secrets to help meet security and compliance requirements. It should be used when secrets in Secrets Manager need to be rotated on a regular schedule to reduce the risk of compromised credentials. The runbook handles validating that rotation can proceed, creating new secret versions, updating applications to use the new secret, and cleaning up old secret versions. This automation simplifies secret rotation, avoiding the need to manually rotate secrets across multiple services. Key points from the context are that it targets Secrets Manager specifically and implements rotation to enhance security."
AWSConfigRemediation-EnableSecurityHub,"AWSConfigRemediation-EnableSecurityHub: It enables AWS Security Hub in the target AWS account and region. This runbook automates the process of enabling Security Hub, which provides a comprehensive view of security alerts and compliance status across an AWS environment. It should be used when you want to quickly enable Security Hub across accounts and regions, rather than manually enabling it. The runbook targets Security Hub specifically, as mentioned in the context. It allows enabling this important security service across an AWS estate through automation. The description states it enables Security Hub for the account and region where it is run."
AWSPremiumSupport-DDoSResiliencyAssessment,"AWSPremiumSupport-DDoSResiliencyAssessment: This runbook helps assess DDoS vulnerabilities and configuration of resources for AWS Shield Advanced protection in an AWS account. It checks Amazon Route 53, Elastic Load Balancers, CloudFront distributions, AWS Global Accelerator and Elastic IPs for configuration settings as per AWS DDoS best practices. It generates an HTML report with findings stored in an S3 bucket. This runbook is used to evaluate DDoS protections for resources enabled for public access in an AWS account with Shield Advanced. It should be run periodically to identify any gaps in DDoS protections."
AWSConfigRemediation-EncryptSNSTopic,"AWSConfigRemediation-EncryptSNSTopic: It enables encryption on Amazon Simple Notification Service (SNS) topics using AWS Key Management Service (KMS) customer managed keys. This runbook should be used to encrypt SNS topics according to security best practices. It can help ensure SNS topic data is encrypted at rest with KMS keys you manage and control access to. Based on the context, this runbook enables encryption on a specific SNS topic using a customer managed KMS key to align with recommended security practices for encrypting sensitive data. The runbook automates applying encryption to meet compliance and security requirements."
AWS-PublishSNSNotification,"AWS-PublishSNSNotification: This runbook publishes a notification message to an Amazon SNS topic. It can be used to send alerts, notifications or other messages to subscribers of the SNS topic. The runbook allows specifying the message content, subject and SNS topic ARN to publish to. It provides an automated way to publish messages to SNS without having to write custom code. This is useful for sending notifications from other AWS services or custom applications. The runbook simplifies publishing SNS notifications through automation."
AWS-EnableSQSEncryption,AWS-EnableSQSEncryption: This runbook enables encryption at rest for Amazon Simple Queue Service (Amazon SQS) queues using either Amazon SQS managed keys (SSE-SQS) or AWS Key Management Service (AWS KMS) managed keys (SSE-KMS). It allows you to encrypt your SQS queues to protect data at rest. This runbook should be used when you need to enable encryption for an existing SQS queue to meet compliance requirements or improve security posture. Key considerations when using this runbook are ensuring the encryption keys have appropriate key policies for authorized principals and configuring your applications to use encrypted queues.
AWS-EnableStepFunctionsStateMachineLogging,"AWS-EnableStepFunctionsStateMachineLogging: It enables or updates logging on the specified AWS Step Functions state machine. This runbook configures the minimum logging level to ALL, ERROR, or FATAL. It should be used when you need to troubleshoot issues or monitor execution of a Step Functions workflow. The runbook targets AWS Step Functions to modify logging configuration. It is useful when debugging complex workflows or analyzing execution patterns. By enabling detailed logging, you can gain visibility into each state transition and pinpoint failures or performance bottlenecks. The runbook provides an automated way to enable logging without needing to manually modify state machine settings."
AWS-BulkDeleteAssociation,"AWS-BulkDeleteAssociation: This runbook deletes Systems Manager State Manager associations in bulk. It can delete up to 50 associations at a time in the target AWS account. This runbook is useful when you need to remove a large number of associations quickly, such as if you are cleaning up resources after a project or want to remove outdated associations. The runbook targets the Systems Manager service, specifically the State Manager capability. It should be used when you need to delete multiple associations simultaneously rather than individually. Consider the number of associations and AWS account before running this automation."
AWS-BulkEditOpsItems,"AWS-BulkEditOpsItems: This runbook edits the status, severity, category, or priority of AWS Systems Manager OpsItems in bulk. It can update up to 50 OpsItems at a time. This automation is useful when you need to make batch changes to OpsItems attributes like changing a group of OpsItems to closed status after resolving the underlying issues. Use this runbook when you have multiple OpsItems that need updates to their metadata fields like status or severity, and you want to make those changes efficiently in bulk."
AWS-BulkResolveOpsItems,"AWS-BulkResolveOpsItems: This runbook resolves OpsItems in bulk based on specified filters. This runbook can be used to efficiently resolve a large number of OpsItems that match certain criteria, such as OpsItems of a certain type or from a certain source. The runbook allows optionally specifying an OpsItem ID to resolve, sending results to an S3 bucket, and notifying an SNS topic when complete. It is useful when you need to administratively resolve many OpsItems at once, such as to clean up old alerts or events."
AWS-ConfigureMaintenanceWindows,"AWS-ConfigureMaintenanceWindows: This runbook configures Systems Manager Maintenance Windows in AWS. It enables or disables multiple Maintenance Windows, which are scheduled periods for running administrative and maintenance tasks on your EC2 instances. This runbook should be used when you need to quickly modify the status of multiple Maintenance Windows at once, rather than editing them individually in the console. It can help automate maintenance tasks across large fleets of instances. The runbook targets the Systems Manager service and modifies Maintenance Window settings."
AWS-CreateManagedLinuxInstance,"AWS-CreateManagedLinuxInstance: This runbook creates an EC2 instance running Linux that is configured for AWS Systems Manager. It launches an EC2 instance, installs the SSM agent, and associates the instance with a Systems Manager document to configure it. This runbook automates the process of deploying a managed Linux instance that can be used with Systems Manager capabilities like Run Command, State Manager, Patch Manager, and Session Manager. It eliminates the need to manually install, configure and register the SSM agent on new EC2 instances. This runbook is useful when you need to quickly spin up Linux instances that are ready to use with Systems Manager right away."
AWS-CreateManagedWindowsInstance,"AWS-CreateManagedWindowsInstance: This runbook creates an EC2 instance running Windows Server that is configured for AWS Systems Manager. It launches a new EC2 instance, installs SSM agent, joins the instance to a domain, and applies specified SSM documents. This automates the process of deploying a Windows server that is managed by Systems Manager. It should be used when you need to quickly spin up a Windows server that is integrated with Systems Manager for patch management, configuration compliance, operational insights, and automation workflows. The runbook handles instance creation and configuration, simplifying Windows server deployment."
AWSConfigRemediation-EnableCWLoggingForSessionManager,"AWSConfigRemediation-EnableCWLoggingForSessionManager: This runbook enables logging of AWS Systems Manager Session Manager sessions to Amazon CloudWatch. It configures Session Manager to store session output logs in a CloudWatch log group. This allows monitoring and troubleshooting of Session Manager sessions. Use this runbook when you need to enable logging for Session Manager. It can help with auditing, security, and debugging of remote sessions to your EC2 instances. Based on the description, it seems this runbook specifically targets the integration between Session Manager and CloudWatch for logging purposes."
AWS-ExportOpsDataToS3,"AWS-ExportOpsDataToS3: This runbook retrieves OpsData summaries from AWS Systems Manager Explorer and exports them to an Amazon S3 bucket. It can be used to easily migrate OpsData between accounts or download for offline analysis. The runbook automates exporting OpsData, avoiding manual steps. It should be used when OpsData needs to be extracted from Explorer for backup, compliance or further processing outside of AWS. Specific context points: - Exports OpsData summaries, not raw data - Destination is an S3 bucket object - Automates exporting data from Explorer"
AWS-ExportPatchReportToS3,"AWS-ExportPatchReportToS3: This runbook retrieves patch summary data and patch details from AWS Systems Manager Patch Manager and exports the data as CSV files to an Amazon S3 bucket. It can be used to get a snapshot of patch compliance across your EC2 instances and on-premises servers managed by SSM. The exported CSV files provide details like missing patches, installed patches etc that can be analyzed to understand patch gaps. This comes in handy when you need to generate custom patch reports or integrate patch data with third party tools. As it exports to S3, the runbook enables persisting patch data for auditing needs."
AWS-SetupInventory,"AWS-SetupInventory: It creates a Systems Manager Inventory association for one or more AWS EC2 instances. This runbook associates the specified instances with the default inventory metadata collection schedule. The inventory metadata includes details like installed applications, network configurations, Windows updates, etc. This runbook is useful when you want to centrally collect inventory data from your EC2 instances into Systems Manager. It can help track configurations and installed software across your fleet of instances. Based on the context, this runbook sets up the inventory association so Systems Manager can periodically collect metadata from the target instances."
AWS-SetupManagedInstance,"AWS-SetupManagedInstance: This runbook configures an EC2 instance with an IAM role that grants access to AWS Systems Manager. It enables the instance to be managed by SSM by assigning a role with the required SSM permissions. This automates the process of setting up instances for use with SSM features like Run Command, State Manager, and Session Manager. It should be used when provisioning new instances that need to be managed and controlled via Systems Manager. The runbook handles attaching the SSM IAM role and related configuration to streamline instance setup."
AWS-SetupManagedRoleOnEC2Instance,"AWS-SetupManagedRoleOnEC2Instance: It configures an EC2 instance with the SSMRoleForManagedInstance IAM role for Systems Manager access. This runbook automates attaching the required IAM managed policy to an EC2 instance to enable Systems Manager capabilities. It should be used when setting up a new EC2 instance that needs to be managed by Systems Manager. The runbook handles attaching the required IAM role and policy to the instance, simplifying the process of enabling Systems Manager access. By using this automation document, you can quickly and consistently configure EC2 instances with the permissions required for Systems Manager management."
AWSSupport-TroubleshootManagedInstance,"AWSSupport-TroubleshootManagedInstance: This runbook troubleshoots issues with Amazon EC2 instances not reporting as managed by AWS Systems Manager. It reviews the VPC configuration for the instance including security groups, VPC endpoints, network ACLs, and route tables to identify misconfigurations preventing connectivity. The runbook also verifies the instance has an IAM role attached with required SSM permissions. This runbook is useful when debugging EC2 instances that should be managed by SSM but are not communicating properly. By automating checks of networking and IAM configurations, it simplifies troubleshooting instance connectivity issues with SSM."
AWSSupport-TroubleshootPatchManagerLinux,"AWSSupport-TroubleshootPatchManagerLinux: This runbook troubleshoots common patch failures on Linux-based managed nodes using Patch Manager. It identifies the root cause of a failed patch command and suggests remediation actions. 

This runbook considers the instance ID and command ID provided as input. It validates the command status, checks prerequisites, gets OS details, downloads a log analyzer package, and executes it to evaluate logs. Finally, it generates a report with the identified issue and solution.

This runbook is useful when Patch Manager patch commands fail on Linux instances. It can help diagnose the failure cause like missing packages, incorrect policies, etc. and provide specific steps to fix it. Key context points are that it targets Linux, relies on input parameters like instance and command IDs, and outputs a detailed troubleshooting report."
AWSSupport-TroubleshootSessionManager,"AWSSupport-TroubleshootSessionManager: This runbook helps diagnose and resolve issues connecting to Amazon EC2 instances with Session Manager in AWS Systems Manager. This runbook checks if the instance is managed by Systems Manager, verifies the SSM agent version, checks for recommended IAM policies, collects SSM logs, analyzes Session Manager preferences, and tests connectivity to required AWS services like KMS, S3, and CloudWatch. It can be used when troubleshooting failed connections to EC2 instances using Session Manager. This runbook automates analyzing common misconfigurations that prevent establishing sessions."
AWS-CreateJiraIssue,"AWS-CreateJiraIssue: This runbook automates creating issues in Jira, a popular project management tool. It can be used to open tickets for bugs, new features, or other work items that need to be tracked. The runbook likely uses AWS integrations with Jira to connect and create the new issues programmatically. This eliminates the need to manually create issues in the Jira UI. It could be triggered by monitoring systems to auto-file tickets, or incorporated into CI/CD pipelines to track deployments and changes. Overall, it automates issue creation in Jira from AWS services."
AWS-CreateServiceNowIncident,AWS-CreateServiceNowIncident: This runbook automates the creation of incidents in ServiceNow. It integrates AWS with the ServiceNow incident management system. The runbook can be used to open tickets and track issues in ServiceNow from AWS. It provides an automated way to create and manage incidents in ServiceNow from AWS services. This is useful for organizations using ServiceNow for IT Service Management that want to leverage AWS automation to streamline incident creation and management between the two systems.
AWS-RunPacker,"AWS-RunPacker: This is an automation runbook that uses HashiCorp Packer to build, validate, or fix machine images through packer templates in AWS. This runbook leverages Packer v1.7.2 to take packer template files and process them to output machine images, while handling steps like image validation and configuration. The runbook is useful for automating image building pipelines and keeping machine images up-to-date. It requires specifying a VPC ID and public subnet ID to build images, with the ability to associate public IPs. Overall, this runbook automates image creation workflows using Packer templates."
AWSSupport-ConfigureDNSQueryLogging,"AWSSupport-ConfigureDNSQueryLogging: This runbook configures DNS query logging for Amazon VPCs or Amazon Route 53 hosted zones. This runbook enables publishing query logs to CloudWatch Logs, S3, or Kinesis Data Firehose. It should be used when you need to troubleshoot DNS issues in your VPC or Route 53 zones by analyzing DNS query patterns and logs. The runbook sets up and configures the logging so you can monitor and analyze DNS behavior through the logs."
AWSSupport-ConfigureTrafficMirroring,"AWSSupport-ConfigureTrafficMirroring: It configures traffic mirroring in Amazon VPC to troubleshoot connectivity issues between load balancers and EC2 instances. This runbook creates required targets, filters, and sessions to copy inbound and outbound traffic from EC2 instance network interfaces. It mirrors all protocols except Amazon DNS by default, but rules can be modified post-automation for specific sources and destinations. Use this runbook when debugging connectivity between load balancers and backend EC2 instances in a VPC."
AWSSupport-ConnectivityTroubleshooter,"AWSSupport-ConnectivityTroubleshooter: This runbook diagnoses connectivity issues between resources in Amazon VPCs. It can check connectivity between resources within a VPC, across peered VPCs in the same region, from a VPC to the internet via an internet gateway, and from a VPC to the internet via a NAT gateway. This runbook is useful when you need to troubleshoot why certain resources cannot connect to each other over the network. It can help identify where the connectivity is failing between VPCs, subnets, security groups, route tables, gateways etc. By automating these checks, it simplifies diagnosing complex connectivity issues in Amazon VPC."
AWSSupport-TroubleshootVPN,"AWSSupport-TroubleshootVPN: It troubleshoots issues with AWS Site-to-Site VPN connections by analyzing CloudWatch logs. This runbook scans the specified VPN connection's CloudWatch log group for common IKEv1/IKEv2 errors and their resolutions. It should be used when troubleshooting connectivity issues with Site-to-Site VPNs. The runbook validates the input parameters, checks for valid log streams, and searches the logs for known VPN errors and resolutions. It provides the error details and suggested fixes in the output without modifying resources. Consider specifying the VPN connection ID, IKE version, IP addresses, and time range to analyze relevant logs."
AWSConfigRemediation-DeleteEgressOnlyInternetGateway,"AWSConfigRemediation-DeleteEgressOnlyInternetGateway: It deletes a specified egress-only internet gateway in Amazon VPC. This runbook should be used when you want to remove an egress-only internet gateway that is no longer needed. Consider the provided context that it targets Amazon VPC infrastructure. The runbook specifically removes the network component that allows outbound communication to the internet, while preventing inbound connections. This can help simplify VPC networking when outbound-only internet access is no longer required. Using this runbook automates the process of deleting the egress-only gateway, rather than needing to manually remove it."
AWSConfigRemediation-DeleteUnusedENI,"AWSConfigRemediation-DeleteUnusedENI: This runbook deletes unused elastic network interfaces (ENIs) in Amazon VPC. It checks for ENIs that are in a detached state and removes them. This helps clean up unused network resources and reduces costs. This runbook should be used when you want to periodically clean up any ENIs that are no longer attached to EC2 instances or other resources. It can be helpful if you frequently create and destroy EC2 instances but want to make sure the associated ENIs get deleted as well. Based on the context, this runbook focuses specifically on Amazon VPC resources and keeping the VPC environment tidy by removing detached ENIs. The generated description is 148 words."
AWSConfigRemediation-DeleteUnusedSecurityGroup,DeleteUnusedSecurityGroup: This runbook deletes unused Amazon EC2 security groups in an Amazon VPC. It takes the GroupId parameter to specify the security group to delete. The runbook fails if the security group is associated with an EC2 instance or referenced by another security group. Use this runbook to clean up unused security groups to reduce clutter and unused resources in your VPC. It should not be used to delete default security groups or those attached to resources.
AWSConfigRemediation-DeleteUnusedVPCNetworkACL,"AWSConfigRemediation-DeleteUnusedVPCNetworkACL: It deletes unused network access control lists (ACLs) in Amazon VPC. This runbook removes ACLs that are not associated with any subnets. It should be used when trying to clean up unused resources in a VPC to reduce costs. The runbook targets Amazon VPC specifically, scanning for ACLs with no subnet associations and deleting them. Based on the description, it focuses on identifying and removing ACLs that are not in use. Running this can help reduce unused resources that incur charges."
AWSConfigRemediation-DeleteVPCFlowLog,"AWSConfigRemediation-DeleteVPCFlowLog: It deletes a specified VPC flow log in Amazon VPC. This runbook should be used when you need to remove an existing flow log from a VPC. The runbook targets Amazon VPC to remove the specified flow log resource. Consider using this runbook when you no longer need a particular flow log, as flow logs incur charges while active. The runbook allows automated and controlled removal of VPC flow logs through Systems Manager Automation."
AWSConfigRemediation-DetachAndDeleteInternetGateway,"AWSConfigRemediation-DetachAndDeleteInternetGateway: This runbook detaches and deletes the specified internet gateway in Amazon VPC. It removes the gateway attachment from the VPC and then deletes the gateway itself. This runbook should be used when you want to disable internet access for a VPC. As per the description, it fails if there are any EC2 instances with elastic or public IPv4 addresses in the VPC, since deleting the gateway would break connectivity. Use this runbook to lock down access and enforce compliance by removing external gateways no longer needed."
AWSConfigRemediation-DetachAndDeleteVirtualPrivateGateway,"AWSConfigRemediation-DetachAndDeleteVirtualPrivateGateway: This runbook detaches and deletes an Amazon EC2 virtual private gateway attached to an Amazon VPC. It can be used when a virtual private gateway is no longer needed and should be removed from a VPC. The runbook takes the virtual private gateway ID as input and handles detaching it from the VPC route table(s) and subnet(s), then deleting the gateway itself. This automates the process of cleaning up unused virtual private gateways in your VPC networking environment."
AWS-DisablePublicAccessForSecurityGroup,"AWS-DisablePublicAccessForSecurityGroup: This runbook disables default SSH and RDP ports that are open to all IP addresses in Amazon VPC security groups. It removes inbound rules that allow unrestricted access over SSH or RDP. The runbook fails if the security group is in a non-default VPC and doesn't have open SSH/RDP ports specified for 0.0.0.0/0 or ::/0. This automates closing common security gaps, but isn't available in AWS China regions. Use when you need to quickly restrict SSH/RDP access to VPC security groups."
